Country,GTFCC_Target_Country,Continent,WHO_Region,Subregion,Year,Total_Cases,Autochtonous_Cases,Imported_Cases,Deaths,CFR,Incidence_Rate_perMillion,Cases_per_Million,Outbreak_Size,WHO_Region_encoded
Afghanistan,Yes,Asia,EMRO,South Asia,2023-01-01,222249,222249,0,101,0.04544452393486585,5842,5842,Epidemic,1
Australia,No,Oceania,WPRO,East Asia and Pacific,2023-01-01,3,0,3,0,0.0,0,0,Small,5
Bahrain,No,Asia,EMRO,Middle East and North Africa,2023-01-01,1,0,1,0,0.0,0,0,Small,1
Bangladesh,Yes,Asia,SEARO,South Asia,2023-01-01,23369,23369,0,0,0.0,143,143,Epidemic,4
Benin,Yes,Africa,AFRO,West and Central Africa,2023-01-01,28,28,0,0,0.0,2,2,Small,0
Burundi,Yes,Africa,AFRO,Eastern and Southern Africa,2023-01-01,1394,1388,6,9,0.6456241032998565,120,120,Large,0
Cameroon,Yes,Africa,AFRO,West and Central Africa,2023-01-01,6470,6470,0,209,3.2302936630602783,250,250,Large,0
China,No,Asia,WPRO,East Asia and Pacific,2023-01-01,29,27,2,0,0.0,0,0,Small,5
Congo,Yes,Africa,AFRO,West and Central Africa,2023-01-01,21,21,0,5,23.809523809523807,4,4,Small,0
Dem Rep Congo,Yes,Africa,AFRO,West and Central Africa,2023-01-01,52654,52654,0,473,0.8983173168230335,607,607,Epidemic,0
Dominican Republic,Yes,Americas,PAHO,Americas and Caribbean,2023-01-01,310,309,1,1,0.3225806451612903,29,29,Medium,3
Eswatini,No,Africa,AFRO,Eastern and Southern Africa,2023-01-01,2,1,1,0,0.0,1,1,Small,0
Ethiopia,Yes,Africa,AFRO,Eastern and Southern Africa,2023-01-01,30389,30389,0,446,1.4676363157721544,271,271,Epidemic,0
France,No,Europe,EURO,Western Europe,2023-01-01,2,0,2,0,0.0,0,0,Small,2
Germany,No,Europe,EURO,Western Europe,2023-01-01,9,0,9,0,0.0,0,0,Small,2
Haiti,Yes,Americas,PAHO,Americas and Caribbean,2023-01-01,54767,54767,0,711,1.2982270345280917,4863,4863,Epidemic,3
India,Yes,Asia,SEARO,South Asia,2023-01-01,649,649,0,0,0.0,0,0,Medium,4
Iran,Yes,Asia,EMRO,Middle East and North Africa,2023-01-01,79,53,26,1,1.2658227848101267,1,1,Small,1
Iraq,Yes,Asia,EMRO,Middle East and North Africa,2023-01-01,1337,1337,0,7,0.5235602094240838,34,34,Large,1
Japan,No,Asia,WPRO,East Asia and Pacific,2023-01-01,2,0,2,0,0.0,0,0,Small,5
Kenya,Yes,Africa,AFRO,Eastern and Southern Africa,2023-01-01,8809,8809,0,141,1.6006357134748552,168,168,Large,0
Lebanon,No,Asia,EMRO,Middle East and North Africa,2023-01-01,2406,2406,0,0,0.0,351,351,Large,1
Liberia,Yes,Africa,AFRO,West and Central Africa,2023-01-01,925,925,0,0,0.0,187,187,Medium,0
Malawi,Yes,Africa,AFRO,Eastern and Southern Africa,2023-01-01,32530,32106,424,817,2.5115278204734093,1723,1723,Epidemic,0
Malaysia,Yes,Asia,WPRO,East Asia and Pacific,2023-01-01,48,48,0,0,0.0,2,2,Small,5
Mozambique,Yes,Africa,AFRO,Eastern and Southern Africa,2023-01-01,39101,39101,0,156,0.39896677834326494,1288,1288,Epidemic,0
Nepal,Yes,Asia,SEARO,South Asia,2023-01-01,7,6,1,0,0.0,0,0,Small,4
New Zealand,No,Oceania,WPRO,East Asia and Pacific,2023-01-01,1,0,1,0,0.0,0,0,Small,5
Nigeria,Yes,Africa,AFRO,West and Central Africa,2023-01-01,3457,3457,0,109,3.1530228521839745,17,17,Large,0
Pakistan,Yes,Asia,EMRO,South Asia,2023-01-01,200,200,0,0,0.0,1,1,Medium,1
Philippines,Yes,Asia,WPRO,East Asia and Pacific,2023-01-01,3982,3982,0,19,0.4771471622300351,37,37,Large,5
Qatar,No,Asia,EMRO,Middle East and North Africa,2023-01-01,3,0,3,0,0.0,0,0,Small,1
Rwanda,No,Africa,AFRO,Eastern and Southern Africa,2023-01-01,207,207,0,1,0.4830917874396135,16,16,Medium,0
Saudi Arabia,No,Asia,EMRO,Middle East and North Africa,2023-01-01,1,0,1,0,0.0,0,0,Small,1
Somalia,Yes,Africa,EMRO,Eastern and Southern Africa,2023-01-01,18304,18304,0,46,0.2513111888111888,1185,1185,Epidemic,1
South Africa,No,Africa,AFRO,Eastern and Southern Africa,2023-01-01,1478,1478,0,47,3.1799729364005414,25,25,Large,0
South Sudan,Yes,Africa,AFRO,Eastern and Southern Africa,2023-01-01,1471,1471,0,2,0.13596193065941536,133,133,Large,0
Sudan,Yes,Africa,EMRO,Middle East and North Africa,2023-01-01,8895,8895,0,246,2.7655986509274872,208,208,Large,1
Sweden,No,Europe,EURO,Western Europe,2023-01-01,3,0,3,0,0.0,0,0,Small,2
Tanzania,Yes,Africa,AFRO,Eastern and Southern Africa,2023-01-01,1040,1040,0,20,1.9230769230769231,18,18,Large,0
Thailand,Yes,Asia,SEARO,East Asia and Pacific,2023-01-01,6,6,0,0,0.0,0,0,Small,4
Togo,Yes,Africa,AFRO,West and Central Africa,2023-01-01,3,3,0,0,0.0,0,0,Small,0
Turks and Caicos Islands,No,Americas,PAHO,Americas and Caribbean,2023-01-01,1,0,1,0,0.0,0,0,Small,3
Zambia,Yes,Africa,AFRO,Eastern and Southern Africa,2023-01-01,4531,4531,0,132,2.913264180092695,254,254,Large,0
Zimbabwe,Yes,Africa,AFRO,Eastern and Southern Africa,2023-01-01,14148,14085,63,308,2.1769861464517954,962,962,Epidemic,0
Afghanistan,Yes,Asia,EMRO,South Asia,2022-01-01,281485,281479,6,100,0.03552587171607723,7399,7399,Epidemic,1
Australia,No,Oceania,WPRO,East Asia and Pacific,2022-01-01,3,1,2,0,0.0,0,0,Small,5
Austria,No,Europe,EURO,Western Europe,2022-01-01,1,0,1,0,0.0,0,0,Small,2
Bahrain,No,Asia,EMRO,Middle East and North Africa,2022-01-01,1,0,1,0,0.0,0,0,Small,1
